bowler,opposition,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
KA Pollard,MI,12,1,6,6.0,12.0,2.0,CSK
MP Stoinis,MI,41,1,8,6.83,36.0,6.0,KKR
MP Stoinis,LSG,138,1,29,9.2,90.0,15.0,KKR
Khushdil Shah,CSK,40,1,7,10.0,24.0,4.0,DC
MG Erasmus,LSG,28,1,7,7.0,24.0,4.0,
MG Erasmus,KKR,21,1,9,7.0,18.0,3.0,
Khushdil Shah,GT,26,1,5,8.67,18.0,3.0,DC
Khushdil Shah,KKR,39,1,8,9.75,24.0,4.0,DC
T Stubbs,LSG,62,1,5,15.5,24.0,4.0,CSK
MG Bracewell,MI,66,1,9,11.0,36.0,6.0,
MG Bracewell,LSG,43,1,9,10.75,24.0,4.0,
Khushdil Shah,PBKS,47,1,6,11.75,24.0,4.0,DC
MG Bracewell,GT,135,1,13,12.27,66.0,11.0,
MADI Hemantha,SRH,41,1,3,10.25,24.0,4.0,
Khushdil Shah,SRH,30,1,8,7.5,24.0,4.0,DC
MA Wood,RCB,26,1,4,8.67,18.0,3.0,
LA Dawson,LSG,58,1,2,14.5,24.0,4.0,
LA Dawson,RR,39,1,2,9.75,24.0,4.0,
TM Head,CSK,15,1,7,7.5,12.0,2.0,
LI Meriwala,RCB,26,1,9,6.5,24.0,4.0,DC
M Jansen,LSG,116,1,28,9.67,72.0,12.0,
M Jansen,MI,97,1,24,8.82,66.0,11.0,
M Jansen,SRH,69,1,11,8.62,48.0,8.0,
M Markande,GT,113,1,16,10.27,66.0,11.0,
M Theekshana,KKR,34,1,10,8.5,24.0,4.0,
M Markande,PBKS,81,1,10,10.12,48.0,8.0,
M Markande,RR,104,1,16,8.67,72.0,12.0,
M Prasidh Krishna,DC,45,1,3,11.25,24.0,4.0,RR
A Badoni,LSG,13,1,2,13.0,6.0,1.0,
MG Erasmus,PBKS,22,1,11,5.5,24.0,4.0,
Khrievitso Kense,KKR,107,1,24,8.92,72.0,12.0,RCB
Tanay Thyagarajan,KKR,25,1,10,6.25,24.0,4.0,RCB
Khrievitso Kense,DC,14,1,13,3.5,24.0,4.0,RCB
KA Pollard,RR,51,1,4,12.75,24.0,4.0,CSK
MP Stoinis,DC,69,1,11,10.62,39.0,6.3,KKR
MP Stoinis,CSK,167,1,13,11.79,85.0,14.1,KKR
KA Pollard,SRH,13,1,4,6.5,12.0,2.0,CSK
MM Sharma,RCB,60,1,5,15.0,24.0,4.0,
MM Sharma,LSG,46,1,6,9.2,30.0,5.0,
KC Cariappa,DC,40,1,6,10.0,24.0,4.0,
MM Ali,SRH,80,1,19,10.0,48.0,8.0,
KC Cariappa,GT,26,1,10,6.5,24.0,4.0,
MM Ali,LSG,73,1,16,9.12,48.0,8.0,
KH Pandya,GT,149,1,14,9.93,90.0,15.0,RR
MM Ali,CSK,72,1,13,9.0,48.0,8.0,
KK Ahmed,KKR,125,1,31,8.93,84.0,14.0,RR
Tanay Thyagarajan,DC,32,1,11,8.0,24.0,4.0,RCB
TU Deshpande,SRH,20,1,5,10.0,12.0,2.0,MI
KK Ahmed,RR,100,1,13,12.5,48.0,8.0,RR
KR Sen,CSK,33,1,11,8.25,24.0,4.0,
MJ Santner,MI,71,1,5,11.83,36.0,6.0,KKR
MJ Santner,LSG,61,1,17,7.62,48.0,8.0,KKR
MJ Santner,GT,28,1,8,9.33,18.0,3.0,KKR
KR Sen,DC,46,1,6,11.5,24.0,4.0,
TU Deshpande,GT,53,1,7,13.25,24.0,4.0,MI
TU Deshpande,CSK,15,1,8,5.0,18.0,3.0,MI
MJ Owen,MI,103,1,13,10.3,60.0,10.0,DC
Kartik Tyagi,LSG,16,1,4,8.0,12.0,2.0,
Mohsin Khan,LSG,37,1,10,9.25,24.0,4.0,
K Kartikeya,KKR,36,1,3,12.0,18.0,3.0,LSG
J Overton,DC,45,1,2,11.25,24.0,4.0,
GD Phillips,PBKS,90,1,4,12.86,42.0,7.0,GT
VG Arora,LSG,100,1,28,8.33,72.0,12.0,KKR
DW Lawrence,GT,20,1,6,6.67,18.0,3.0,DC
DW Lawrence,KKR,27,1,5,9.0,18.0,3.0,DC
EA Brookes,LSG,27,1,4,9.0,18.0,3.0,
VG Arora,CSK,142,1,26,9.47,90.0,15.0,KKR
PHKD Mendis,PBKS,90,1,15,10.0,54.0,9.0,DC
V Suryavanshi,KKR,11,1,2,11.0,6.0,1.0,PBKS
PHKD Mendis,LSG,90,1,18,8.71,62.0,10.2,DC
G Coetzee,RR,13,1,6,6.5,12.0,2.0,
G Coetzee,SRH,43,1,6,10.75,24.0,4.0,
OEG Baartman,RR,39,1,8,9.75,24.0,4.0,
OEG Baartman,CSK,38,1,6,9.5,24.0,4.0,
HR Shokeen,SRH,29,1,10,7.25,24.0,4.0,RR
GD Phillips,RR,59,1,6,9.83,36.0,6.0,GT
GF Linde,KKR,32,1,9,8.0,24.0,4.0,GT
GJ Maxwell,RR,56,1,1,18.67,18.0,3.0,DC
Noor Ahmad,GT,65,1,10,9.07,43.0,7.1,MI
Gurjapneet Singh,KKR,48,1,7,12.0,24.0,4.0,
Nithish Kumar Reddy,RR,68,1,4,9.71,42.0,7.0,SRH
Nithish Kumar Reddy,PBKS,21,1,5,7.0,18.0,3.0,SRH
Nithish Kumar Reddy,LSG,155,1,10,11.07,84.0,14.0,SRH
HJ Manenti,PBKS,41,1,2,10.25,24.0,4.0,CSK
HJ Manenti,SRH,12,1,11,4.0,18.0,3.0,CSK
HR Shokeen,DC,27,1,2,9.0,18.0,3.0,RR
DS Rathi,MI,36,1,7,12.0,18.0,3.0,KKR
DS Rathi,CSK,136,1,23,8.5,96.0,16.0,KKR
DS Airee,SRH,57,1,9,9.5,36.0,6.0,CSK
DS Airee,MI,25,1,6,6.25,24.0,4.0,CSK
VR Iyer,LSG,95,1,8,13.57,42.0,7.0,SRH
DJ Hooda,RCB,11,1,2,11.0,6.0,1.0,
VR Iyer,CSK,54,1,7,10.8,30.0,5.0,SRH
VG Arora,RR,48,1,12,8.0,36.0,6.0,KKR
Pulkit Narang,CSK,48,1,6,12.0,24.0,4.0,RR
Prashant Veer,SRH,26,1,3,13.0,12.0,2.0,DC
DL Chahar,GT,41,1,7,10.25,24.0,4.0,
Prashant Veer,KKR,19,1,5,9.5,12.0,2.0,DC
Sikandar Raza,LSG,88,1,11,8.8,60.0,10.0,
DL Chahar,KKR,47,1,5,11.75,24.0,4.0,
PWH de Silva,RCB,21,1,8,7.0,18.0,3.0,RCB
DL Chahar,RCB,77,1,12,9.62,48.0,8.0,
DL Chahar,SRH,68,1,1,17.0,24.0,4.0,
DR Sams,DC,41,1,6,10.25,24.0,4.0,
DR Sams,MI,8,1,14,2.67,18.0,3.0,
DR Sams,RR,25,1,7,6.25,24.0,4.0,
PP Chawla,SRH,58,1,13,8.29,42.0,7.0,
DR Sams,SRH,42,1,5,10.5,24.0,4.0,
PP Chawla,PBKS,26,1,4,8.67,18.0,3.0,
TA Boult,MI,63,1,13,9.0,42.0,7.0,MI
DS Airee,DC,13,1,6,6.5,12.0,2.0,CSK
DS Airee,KKR,75,1,7,9.38,48.0,8.0,CSK
DS Airee,LSG,49,1,5,12.25,24.0,4.0,CSK
HR Shokeen,MI,78,1,9,11.14,42.0,7.0,RR
Gurjapneet Singh,SRH,33,1,4,11.0,18.0,3.0,
Utkarsh Singh,GT,25,1,5,8.33,18.0,3.0,PBKS
Naman Dhir,RR,29,1,10,7.25,24.0,4.0,GT
Harsh Dubey,GT,29,1,8,7.25,24.0,4.0,RCB
Harsh Tyagi,PBKS,22,1,5,11.0,12.0,2.0,SRH
N Rana,LSG,26,1,4,8.67,18.0,3.0,PBKS
Mukesh Kumar,RR,68,1,5,13.6,30.0,5.0,
V Nigam,GT,18,1,3,6.0,18.0,3.0,GT
Harshit Rana,RCB,74,1,18,9.25,48.0,8.0,KKR
Suyash Sharma,GT,61,1,15,7.62,48.0,8.0,KKR
Harshit Rana,SRH,96,1,21,8.73,66.0,11.0,KKR
Hemang Patel,MI,12,1,1,12.0,6.0,1.0,
NA Rathva,MI,15,1,8,5.0,18.0,3.0,RR
V Kaverappa,DC,31,1,8,10.33,18.0,3.0,PBKS
NA Rathva,CSK,10,1,2,10.0,6.0,1.0,RR
Mustafizur Rahman,CSK,39,1,12,7.8,30.0,5.0,
N Sindhu,SRH,44,1,3,14.67,18.0,3.0,DC
I Sharma,LSG,100,1,14,12.5,48.0,8.0,
Mukesh Kumar,PBKS,43,1,7,10.75,24.0,4.0,
Harsh Dubey,DC,144,1,12,14.4,60.0,10.0,RCB
Naseem Shah,KKR,36,1,10,9.0,24.0,4.0,
Sumit Kumar,RR,51,1,2,17.0,18.0,3.0,
Suyash Sharma,MI,53,1,5,13.25,24.0,4.0,KKR
N Burger,KKR,37,1,10,9.25,24.0,4.0,
Suyash Sharma,DC,129,1,14,10.75,72.0,12.0,KKR
Suyash Sharma,CSK,64,1,14,9.14,42.0,7.0,KKR
HV Patel,DC,179,1,22,11.93,90.0,15.0,GT
Mujeeb Ur Rahman,LSG,34,1,6,8.5,24.0,4.0,
J Anderson,PBKS,33,1,6,9.9,20.0,3.2,
Suyash Sharma,KKR,41,1,8,10.25,24.0,4.0,KKR
V Kaverappa,CSK,41,1,7,10.25,24.0,4.0,PBKS
Mukesh Kumar,DC,80,1,8,10.0,48.0,8.0,
Harpreet Brar,KKR,137,1,17,9.79,84.0,14.0,GT
Mukesh Kumar,KKR,83,1,22,8.3,60.0,10.0,
J Anderson,LSG,41,1,9,10.25,24.0,4.0,
Naseem Shah,CSK,44,1,9,11.0,24.0,4.0,
Shivam Shukla,KKR,58,0,5,14.5,inf,4.0,MI
Utkarsh Singh,MI,62,0,8,12.4,inf,5.0,PBKS
Utkarsh Singh,LSG,26,0,4,6.5,inf,4.0,PBKS
Z Khan,MI,32,0,7,10.67,inf,3.0,
TM Head,GT,33,0,5,8.25,inf,4.0,
Yash Dayal,MI,48,0,8,12.0,inf,4.0,
Yash Dayal,GT,47,0,4,11.75,inf,4.0,
Tilak Varma,MI,34,0,3,17.0,inf,2.0,CSK
T Stubbs,RCB,21,0,4,10.5,inf,2.0,CSK
Shahbaz Ahmed,CSK,49,0,4,12.25,inf,4.0,LSG
Yash Dayal,SRH,36,0,5,12.0,inf,3.0,
Shadab Khan,DC,70,0,6,10.0,inf,7.0,SRH
TM Head,DC,31,0,1,15.5,inf,2.0,
TH David,GT,23,0,1,23.0,inf,1.0,PBKS
Zeeshan Ansari,KKR,18,0,8,6.0,inf,3.0,SRH
VR Iyer,GT,17,0,4,8.5,inf,2.0,SRH
VR Iyer,KKR,42,0,2,10.5,inf,4.0,SRH
VR Iyer,MI,42,0,5,10.5,inf,4.0,SRH
TM Head,LSG,13,0,5,6.5,inf,2.0,
Shakib Al Hasan,DC,35,0,4,11.67,inf,3.0,
Utkarsh Singh,RCB,41,0,5,8.2,inf,5.0,PBKS
Tilak Varma,RCB,2,0,4,2.0,inf,1.0,CSK
Tilak Varma,DC,51,0,3,12.75,inf,4.0,CSK
V Nigam,SRH,70,0,7,10.0,inf,7.0,GT
YK Pathan,MI,76,0,12,9.5,inf,8.0,KKR
Yuvraj Chaudhary,DC,6,0,2,6.0,inf,1.0,
Swapnil Singh,DC,45,0,2,11.25,inf,4.0,CSK
Yudhvir Singh,SRH,37,0,6,12.33,inf,3.0,RCB
Sumit Kumar,GT,25,0,2,12.5,inf,2.0,
Yuvraj Chaudhary,MI,22,0,2,11.0,inf,2.0,
Sumit Kumar,RCB,10,0,2,10.0,inf,1.0,
Sonu Yadav,LSG,31,0,4,10.33,inf,3.0,PBKS
Yash Thakur,LSG,100,0,7,12.5,inf,8.0,MI
Tilak Varma,PBKS,8,0,1,8.0,inf,1.0,CSK
V Puthur,LSG,51,0,6,12.75,inf,4.0,DC
Simarjeet Singh,MI,37,0,3,9.25,inf,4.0,
Utkarsh Singh,SRH,45,0,4,7.5,inf,6.0,PBKS
Tilak Varma,SRH,11,0,0,11.0,inf,1.0,CSK
Tripuresh Singh,MI,28,0,6,7.0,inf,4.0,RCB
Tripuresh Singh,PBKS,33,0,7,8.25,inf,4.0,RCB
V Suryavanshi,RR,9,0,2,9.0,inf,1.0,PBKS
VG Arora,DC,40,0,8,10.0,inf,4.0,KKR
WL Madsen,SRH,14,0,2,14.0,inf,1.0,MI
WL Madsen,RR,9,0,3,9.0,inf,1.0,MI
Tilak Varma,KKR,20,0,1,20.0,inf,1.0,CSK
TM Head,PBKS,22,0,5,11.0,inf,2.0,
WL Madsen,RCB,8,0,1,8.0,inf,1.0,MI
TM Head,MI,36,0,3,12.0,inf,3.0,
WL Madsen,GT,10,0,2,10.0,inf,1.0,MI
Z Khan,GT,28,0,9,7.0,inf,4.0,
Sikandar Raza,DC,62,0,9,10.33,inf,6.0,
A Badoni,DC,11,0,1,11.0,inf,1.0,
Sami Sohail,GT,37,0,5,9.25,inf,4.0,
DR Sams,CSK,57,0,6,14.25,inf,4.0,
DJ Hooda,LSG,4,0,4,4.0,inf,1.0,
DJ Hooda,MI,10,0,2,10.0,inf,1.0,
DJ Hooda,SRH,8,0,2,8.0,inf,1.0,
DL Chahar,CSK,27,0,6,9.0,inf,3.0,
DL Chahar,DC,30,0,11,7.5,inf,4.0,
DL Chahar,LSG,42,0,4,10.5,inf,4.0,
DL Chahar,MI,28,0,9,7.0,inf,4.0,
DW Lawrence,CSK,17,0,2,8.5,inf,2.0,DC
Chirag Jani,KKR,55,0,8,11.0,inf,5.0,CSK
DW Lawrence,RR,6,0,1,6.0,inf,1.0,DC
EA Brookes,PBKS,15,0,1,7.5,inf,2.0,
EA Brookes,SRH,3,0,4,3.0,inf,1.0,
Faisal Khan,PBKS,12,0,1,12.0,inf,1.0,RCB
G Coetzee,GT,39,0,7,9.75,inf,4.0,
G Coetzee,PBKS,33,0,11,8.25,inf,4.0,
GD Phillips,DC,42,0,9,10.5,inf,4.0,GT
DJ Hooda,KKR,9,0,0,9.0,inf,1.0,
DJ Hooda,DC,8,0,0,8.0,inf,1.0,
DJ Bravo,KKR,47,0,3,11.75,inf,4.0,
DG Nalkande,LSG,36,0,8,9.0,inf,4.0,
D Brevis,KKR,12,0,3,12.0,inf,1.0,LSG
D Brevis,LSG,29,0,10,7.25,inf,4.0,LSG
D Brevis,RR,10,0,1,10.0,inf,1.0,LSG
D Ferreira,DC,28,0,4,9.33,inf,3.0,GT
D Ferreira,KKR,12,0,6,6.0,inf,2.0,GT
D Ferreira,LSG,17,0,2,8.5,inf,2.0,GT
D Ferreira,RR,18,0,4,9.0,inf,2.0,GT
D Potgieter,KKR,26,0,8,6.5,inf,4.0,
D Potgieter,MI,51,0,5,12.75,inf,4.0,
D Potgieter,PBKS,54,0,5,13.5,inf,4.0,
D Visser,GT,15,0,1,7.5,inf,2.0,
D Visser,RR,22,0,0,22.0,inf,1.0,
D Wiese,CSK,69,0,12,8.62,inf,8.0,GT
D Wiese,DC,58,0,3,14.5,inf,4.0,GT
DA Payne,MI,18,0,5,9.0,inf,2.0,PBKS
GD Phillips,KKR,22,0,5,7.33,inf,3.0,GT
GD Phillips,MI,59,0,11,9.83,inf,6.0,GT
GF Linde,GT,35,0,7,8.75,inf,4.0,GT
Ihsanullah,SRH,52,0,4,13.0,inf,4.0,
J Anderson,CSK,25,0,1,16.67,inf,1.3,
J Overton,LSG,32,0,1,10.67,inf,3.0,
J Suchith,DC,41,0,6,10.25,inf,4.0,
J Suchith,SRH,30,0,8,7.5,inf,4.0,
JD Unadkat,RR,96,0,5,12.0,inf,8.0,
JDS Neesham,CSK,56,0,5,14.0,inf,4.0,
JDS Neesham,KKR,21,0,13,5.25,inf,4.0,
JDS Neesham,SRH,47,0,7,11.75,inf,4.0,
JG Bethell,PBKS,27,0,1,13.5,inf,2.0,RR
JJ Smit,GT,85,0,11,10.62,inf,8.0,PBKS
JJ Smit,MI,44,0,3,11.0,inf,4.0,PBKS
JM Coles,GT,29,0,6,7.25,inf,4.0,MI
JM Coles,PBKS,26,0,11,6.5,inf,4.0,MI
JM Coles,RCB,85,0,5,9.44,inf,9.0,MI
JM Coles,RR,33,0,5,8.25,inf,4.0,MI
Imran Tahir,RR,73,0,8,10.43,inf,7.0,CSK
Ihsanullah,LSG,41,0,9,10.25,inf,4.0,
GF Linde,RR,63,0,1,15.75,inf,4.0,GT
IC Porel,RR,30,0,3,10.0,inf,3.0,
H Ssenyondo,MI,28,0,11,7.0,inf,4.0,LSG
HR Shokeen,KKR,41,0,5,10.25,inf,4.0,RR
HR Shokeen,RCB,30,0,3,10.0,inf,3.0,RR
HV Patel,PBKS,34,0,5,8.5,inf,4.0,GT
Harpreet Brar,RCB,53,0,5,13.25,inf,4.0,GT
Harsh Tyagi,GT,12,0,6,6.0,inf,2.0,SRH
Harsh Tyagi,RCB,37,0,6,12.33,inf,3.0,SRH
Harshit Rana,DC,42,0,3,14.0,inf,3.0,KKR
Harshit Rana,PBKS,37,0,9,9.25,inf,4.0,KKR
Hassan Nawaz,LSG,15,0,0,15.0,inf,1.0,RCB
Hemang Patel,CSK,34,0,2,11.33,inf,3.0,
Hemang Patel,RCB,10,0,9,5.0,inf,2.0,
Hemang Patel,SRH,31,0,1,10.33,inf,3.0,
I Sharma,PBKS,45,0,2,11.25,inf,4.0,
IC Porel,DC,29,0,3,9.67,inf,3.0,
Chirag Jani,LSG,39,0,9,7.8,inf,5.0,CSK
Chirag Jani,CSK,48,0,7,9.6,inf,5.0,CSK
Sami Sohail,DC,48,0,6,12.0,inf,4.0,
Abhishek Sharma,RCB,45,0,4,11.25,inf,4.0,MI
AM Hardie,RCB,46,0,5,11.5,inf,4.0,CSK
AM Hardie,RR,29,0,5,9.67,inf,3.0,CSK
AM Rahane,KKR,14,0,1,14.0,inf,1.0,MI
AS Roy,PBKS,22,0,10,5.5,inf,4.0,GT
AU Rashid,CSK,59,0,4,14.75,inf,4.0,
Abdul Samad,SRH,52,0,5,10.4,inf,5.0,LSG
Abhishek Sharma,PBKS,52,0,4,10.4,inf,5.0,MI
Abid Mushtaq,MI,44,0,9,11.0,inf,4.0,
Cheepurapalli Stephen,PBKS,48,0,3,12.0,inf,4.0,CSK
Abid Mushtaq,PBKS,54,0,7,13.5,inf,4.0,
Abid Mushtaq,RR,25,0,11,6.25,inf,4.0,
Akash Deep,CSK,29,0,8,7.57,inf,3.5,
Akash Madhwal,MI,40,0,3,15.0,inf,2.4,
Ashutosh Aman,DC,39,0,10,9.75,inf,4.0,
Ashutosh Aman,RR,48,0,4,12.0,inf,4.0,
Ashwani Kumar,LSG,37,0,3,12.33,inf,3.0,RR
AM Hardie,PBKS,43,0,6,10.75,inf,4.0,CSK
AJ Turner,PBKS,21,0,5,7.0,inf,3.0,
AJ Hosein,RR,49,0,5,12.25,inf,4.0,
AJ Hosein,LSG,36,0,10,9.0,inf,4.0,
A Badoni,PBKS,10,0,1,10.0,inf,1.0,
A Badoni,SRH,6,0,0,6.0,inf,1.0,
A Kamboj,CSK,42,0,6,10.5,inf,4.0,GT
A Kamboj,RCB,50,0,5,12.5,inf,4.0,GT
A Kamboj,SRH,71,0,6,11.83,inf,6.0,GT
A Mishra,DC,35,0,5,8.75,inf,4.0,
A Mishra,KKR,44,0,6,11.0,inf,4.0,
A Mishra,PBKS,51,0,4,12.75,inf,4.0,
A Nortje,PBKS,104,0,17,9.45,inf,11.0,
A Sheth,KKR,35,0,7,8.75,inf,4.0,DC
A Sheth,LSG,53,0,1,13.25,inf,4.0,DC
A Sheth,PBKS,32,0,7,8.0,inf,4.0,DC
AA Kulkarni,DC,13,0,0,13.0,inf,1.0,GT
AA Kulkarni,PBKS,26,0,1,13.0,inf,2.0,GT
AJ Hosein,CSK,29,0,10,7.25,inf,4.0,
Ashwin Das,KKR,38,0,5,9.5,inf,4.0,LSG
Ashwin Das,SRH,37,0,7,9.25,inf,4.0,LSG
Atharva Ankolekar,CSK,36,0,7,9.0,inf,4.0,MI
Bilal Zalmai,SRH,111,0,5,13.88,inf,8.0,
CH Gayle,DC,45,0,6,11.25,inf,4.0,CSK
CH Gayle,MI,60,0,2,12.0,inf,5.0,CSK
CH Morris,KKR,41,0,7,10.25,inf,4.0,
CH Morris,LSG,52,0,1,13.0,inf,4.0,
CH Morris,MI,15,0,2,15.0,inf,1.0,
CH Morris,PBKS,89,0,14,11.12,inf,8.0,
CH Morris,SRH,30,0,6,7.5,inf,4.0,
CJ Green,PBKS,21,0,9,5.25,inf,4.0,
CJ Jordan,CSK,41,0,3,10.25,inf,4.0,
CV Milind,CSK,41,0,8,10.25,inf,4.0,SRH
CV Milind,DC,33,0,5,8.25,inf,4.0,SRH
CV Milind,LSG,35,0,8,8.75,inf,4.0,SRH
CV Milind,RCB,13,0,11,4.33,inf,3.0,SRH
Cheepurapalli Stephen,CSK,19,0,6,6.33,inf,3.0,CSK
Cheepurapalli Stephen,GT,86,0,6,12.29,inf,7.0,CSK
C Connolly,SRH,26,0,5,8.67,inf,3.0,PBKS
Bilal Zalmai,LSG,35,0,7,8.75,inf,4.0,
Atharva Taide,CSK,6,0,2,6.0,inf,1.0,MI
Bilal Zalmai,GT,35,0,1,8.75,inf,4.0,
Avesh Khan,LSG,41,0,6,10.25,inf,4.0,GT
Azmatullah Omarzai,LSG,75,0,5,15.0,inf,5.0,
Azmatullah Omarzai,SRH,40,0,4,10.0,inf,4.0,
BA Stokes,LSG,50,0,4,12.5,inf,4.0,RR
BA Stokes,SRH,43,0,4,14.33,inf,3.0,RR
BJ Dwarshuis,MI,35,0,0,11.67,inf,3.0,
BJ McMullen,LSG,57,0,4,11.4,inf,5.0,RR
BJ McMullen,MI,105,0,14,9.84,inf,10.4,RR
BJ McMullen,PBKS,41,0,5,10.25,inf,4.0,RR
BJ McMullen,RCB,46,0,9,7.67,inf,6.0,RR
BJ McMullen,RR,17,0,1,17.0,inf,1.0,RR
BJ McMullen,SRH,30,0,7,7.5,inf,4.0,RR
Bal Krishna,GT,37,0,5,9.25,inf,4.0,
Bal Krishna,SRH,39,0,0,13.0,inf,3.0,
Baltej Singh,DC,41,0,5,10.25,inf,4.0,
JO Holder,CSK,48,0,1,16.0,inf,3.0,
Jagjit Singh,MI,196,0,31,10.89,inf,18.0,SRH
Jaskaran Singh,CSK,28,0,3,14.0,inf,2.0,KKR
R Powell,RR,16,0,1,8.0,inf,2.0,LSG
R Ashwin,MI,126,0,27,9.0,inf,14.0,KKR
R Parag,KKR,67,0,3,13.4,inf,5.0,GT
R Parag,RCB,45,0,3,11.25,inf,4.0,GT
R Powell,CSK,6,0,1,6.0,inf,1.0,LSG
R Powell,MI,47,0,3,11.75,inf,4.0,LSG
R Powell,PBKS,22,0,2,11.0,inf,2.0,LSG
R Powell,RCB,9,0,1,9.0,inf,1.0,LSG
R Powell,SRH,18,0,1,9.0,inf,2.0,LSG
Jaskaran Singh,GT,17,0,5,8.5,inf,2.0,KKR
R Ravindra,PBKS,40,0,2,13.33,inf,3.0,
R Tewatia,MI,35,0,4,8.75,inf,4.0,
RA Bawa,CSK,22,0,3,11.0,inf,2.0,SRH
RA Bawa,DC,49,0,8,8.17,inf,6.0,SRH
RA Bawa,GT,51,0,5,12.75,inf,4.0,SRH
RA Bawa,RCB,20,0,4,10.0,inf,2.0,SRH
RA Bawa,RR,35,0,5,8.75,inf,4.0,SRH
Pulkit Narang,PBKS,24,0,14,6.0,inf,4.0,RR
Prashant Veer,RCB,13,0,3,6.5,inf,2.0,DC
Pankaj Jaswal,RR,36,0,6,12.0,inf,3.0,
PP Chawla,RCB,38,0,5,9.91,inf,3.5,
Naman Dhir,LSG,6,0,1,6.0,inf,1.0,GT
Naman Dhir,MI,13,0,0,13.0,inf,1.0,GT
Naman Dhir,SRH,18,0,0,18.0,inf,1.0,GT
Naseem Shah,GT,38,0,6,9.5,inf,4.0,
Naseem Shah,RCB,67,0,19,8.38,inf,8.0,
Naseem Shah,SRH,46,0,3,11.5,inf,4.0,
Nithish Kumar Reddy,DC,60,0,2,10.0,inf,6.0,SRH
Nithish Kumar Reddy,GT,65,0,11,9.29,inf,7.0,SRH
Nithish Kumar Reddy,SRH,11,0,1,11.0,inf,1.0,SRH
OEG Baartman,KKR,46,0,3,13.14,inf,3.3,
OEG Baartman,SRH,31,0,4,10.33,inf,3.0,
PHKD Mendis,CSK,67,0,9,11.17,inf,6.0,DC
PJ Cummins,SRH,25,0,9,8.33,inf,3.0,
PN Mankad,CSK,4,0,2,4.0,inf,1.0,
PP Chawla,DC,34,0,8,8.5,inf,4.0,
RD Chahar,CSK,36,0,10,9.0,inf,4.0,CSK
RD Chahar,GT,29,0,8,7.25,inf,4.0,CSK
RD Chahar,KKR,53,0,8,10.6,inf,5.0,CSK
SA Abbott,MI,49,0,1,12.25,inf,4.0,
SM Curran,PBKS,73,0,14,10.43,inf,7.0,
SN Thakur,RR,37,0,3,12.33,inf,3.0,
SS Agarwal,CSK,50,0,5,12.5,inf,4.0,
SS Agarwal,KKR,14,0,11,4.67,inf,3.0,
SS Agarwal,RR,33,0,9,8.25,inf,4.0,
SS Ghosh,RCB,34,0,6,10.2,inf,3.2,MI
SS Ghosh,SRH,46,0,7,11.5,inf,4.0,MI
SZ Mulani,CSK,39,0,6,9.75,inf,4.0,LSG
SZ Mulani,GT,51,0,3,12.75,inf,4.0,LSG
SZ Mulani,KKR,27,0,4,9.0,inf,3.0,LSG
SZ Mulani,MI,15,0,6,5.0,inf,3.0,LSG
Sakibul Gani,DC,16,0,2,16.0,inf,1.0,RCB
Sakibul Gani,PBKS,42,0,3,14.0,inf,3.0,RCB
Samant Jakhar,GT,33,0,3,16.5,inf,2.0,DC
Samant Jakhar,SRH,23,0,3,11.5,inf,2.0,DC
SM Curran,MI,85,0,11,10.62,inf,8.0,
SA Abbott,CSK,45,0,5,11.25,inf,4.0,
RD Chahar,RCB,55,0,3,13.75,inf,4.0,CSK
S Gopal,SRH,34,0,11,8.5,inf,4.0,GT
RD Chahar,RR,109,0,15,10.9,inf,10.0,CSK
RG Sharma,DC,33,0,2,16.5,inf,2.0,KKR
RG Sharma,PBKS,17,0,0,17.0,inf,1.0,KKR
RR Patel,PBKS,37,0,7,9.25,inf,4.0,RCB
RR Patel,RR,20,0,0,10.0,inf,2.0,RCB
RS Hangargekar,KKR,20,0,9,6.67,inf,3.0,
RS Hangargekar,MI,46,0,3,11.5,inf,4.0,
Rahul Singh,RCB,14,0,2,14.0,inf,1.0,RCB
Ramandeep Singh,DC,53,0,10,7.57,inf,7.0,LSG
Ramandeep Singh,SRH,26,0,5,6.5,inf,4.0,LSG
Rashid Khan,GT,37,0,6,12.33,inf,3.0,MI
Ravi Teja,RCB,38,0,6,12.67,inf,3.0,RCB
Rishad Hossain,GT,29,0,4,9.67,inf,3.0,RR
S Gopal,KKR,32,0,8,8.0,inf,4.0,GT
S Gopal,RR,25,0,0,25.0,inf,1.0,GT
Naman Dhir,DC,19,0,0,19.0,inf,1.0,GT
NA Rathva,GT,5,0,3,5.0,inf,1.0,RR
NA Rathva,DC,18,0,3,9.0,inf,2.0,RR
KR Sen,RCB,28,0,6,9.33,inf,3.0,
KV Sharma,GT,51,0,1,12.75,inf,4.0,
Kaleem Sana,CSK,41,0,11,10.25,inf,4.0,RCB
Kaleem Sana,LSG,47,0,8,11.75,inf,4.0,RCB
Kartik Tyagi,RR,26,0,0,13.0,inf,2.0,
Khrievitso Kense,MI,50,0,6,12.5,inf,4.0,RCB
Khushdil Shah,LSG,35,0,2,11.67,inf,3.0,DC
Khushdil Shah,MI,30,0,10,7.5,inf,4.0,DC
LH Ferguson,CSK,34,0,5,8.5,inf,4.0,
LH Ferguson,LSG,52,0,4,14.86,inf,3.3,
LH Ferguson,MI,17,0,4,8.5,inf,2.0,
