bowler,venue,runs_conceded,wkts,dots,Eco,SR,overs,Curr_Tm
DS Rathi,CSK,64,0,11,8.0,inf,8.0,KKR
DAJ Bracewell,SRH,32,0,5,8.0,inf,4.0,
DW Lawrence,DC,6,0,1,6.0,inf,1.0,DC
EA Brookes,RCB,18,0,5,6.0,inf,3.0,
Fazalhaq Farooqi,PBKS,28,0,5,12.0,inf,2.2,CSK
GD Phillips,CSK,15,0,0,15.0,inf,1.0,GT
GD Phillips,DC,31,0,3,15.5,inf,2.0,GT
GJ Maxwell,KKR,74,0,6,9.25,inf,8.0,DC
DG Nalkande,LSG,36,0,8,9.0,inf,4.0,
DAJ Bracewell,KKR,39,0,8,9.75,inf,4.0,
Chirag Jani,LSG,28,0,4,9.33,inf,3.0,CSK
D Potgieter,KKR,26,0,8,6.5,inf,4.0,
D Brevis,KKR,12,0,3,12.0,inf,1.0,LSG
D Brevis,LSG,18,0,8,6.0,inf,3.0,LSG
D Ferreira,DC,21,0,7,7.0,inf,3.0,GT
D Ferreira,LSG,17,0,2,8.5,inf,2.0,GT
D Ferreira,RR,18,0,4,9.0,inf,2.0,GT
D Ferreira,SRH,19,0,3,9.5,inf,2.0,GT
D Potgieter,MI,51,0,5,12.75,inf,4.0,
DA Payne,PBKS,38,0,10,9.5,inf,4.0,PBKS
D Potgieter,PBKS,54,0,5,13.5,inf,4.0,
D Visser,GT,15,0,1,7.5,inf,2.0,
D Visser,RR,22,0,0,22.0,inf,1.0,
D Wiese,CSK,69,0,12,8.62,inf,8.0,GT
D Wiese,RCB,33,0,3,11.0,inf,3.0,GT
DA Payne,MI,18,0,5,9.0,inf,2.0,PBKS
HH Pandya,GT,117,0,6,13.0,inf,9.0,MI
HJ Manenti,GT,50,0,3,12.5,inf,4.0,CSK
HR Shokeen,GT,31,0,3,10.33,inf,3.0,RR
JJ Smit,MI,74,0,10,9.25,inf,8.0,PBKS
J Suchith,DC,41,0,6,10.25,inf,4.0,
J Suchith,SRH,30,0,8,7.5,inf,4.0,
JDS Neesham,KKR,21,0,13,5.25,inf,4.0,
JG Bethell,DC,69,0,4,11.5,inf,6.0,RR
JG Bethell,PBKS,39,0,3,13.0,inf,3.0,RR
JJ Bumrah,GT,114,0,9,10.36,inf,11.0,DC
JJ Smit,RCB,8,0,0,8.0,inf,1.0,PBKS
HR Shokeen,RCB,77,0,4,12.83,inf,6.0,RR
JJ Smit,RR,38,0,4,9.5,inf,4.0,PBKS
JM Coles,RCB,17,0,2,8.5,inf,2.0,MI
JO Holder,CSK,48,0,1,16.0,inf,3.0,
JR Hazlewood,SRH,41,0,8,10.25,inf,4.0,RR
Jagjit Singh,MI,148,0,22,10.57,inf,14.0,SRH
Jaskaran Singh,GT,17,0,5,8.5,inf,2.0,KKR
J Overton,LSG,32,0,1,10.67,inf,3.0,
J Anderson,CSK,25,0,1,16.67,inf,1.3,
Imran Tahir,RR,73,0,8,10.43,inf,7.0,CSK
Ihsanullah,LSG,41,0,9,10.25,inf,4.0,
Ihsanullah,DC,52,0,4,13.0,inf,4.0,
IC Porel,SRH,30,0,3,10.0,inf,3.0,
IC Porel,DC,29,0,3,9.67,inf,3.0,
I Sharma,RR,46,0,7,11.5,inf,4.0,
I Sharma,DC,37,0,5,12.33,inf,3.0,
Hemang Patel,RCB,3,0,4,3.0,inf,1.0,
Hemang Patel,CSK,21,0,2,10.5,inf,2.0,
Hassan Nawaz,LSG,15,0,0,15.0,inf,1.0,RCB
Harshit Rana,SRH,42,0,3,14.0,inf,3.0,KKR
Harshit Rana,LSG,31,0,9,7.75,inf,4.0,KKR
Harsh Dubey,KKR,51,0,8,12.75,inf,4.0,RCB
Harsh Dubey,DC,32,0,1,16.0,inf,2.0,RCB
Harpreet Brar,KKR,35,0,6,8.75,inf,4.0,GT
Chirag Jani,RR,22,0,2,11.0,inf,2.0,CSK
Chirag Jani,KKR,36,0,4,12.0,inf,3.0,CSK
SS Agarwal,DC,14,0,11,4.67,inf,3.0,
Abhishek Sharma,DC,110,0,10,11.0,inf,10.0,MI
AR Ramjani,RR,34,0,2,11.33,inf,3.0,PBKS
AS Roy,PBKS,22,0,10,5.5,inf,4.0,GT
AU Rashid,LSG,59,0,4,14.75,inf,4.0,
Abdul Samad,GT,15,0,0,15.0,inf,1.0,LSG
Abdul Samad,SRH,40,0,4,10.0,inf,4.0,LSG
Abhishek Sharma,CSK,21,0,5,7.0,inf,3.0,MI
Abhishek Sharma,PBKS,52,0,4,10.4,inf,5.0,MI
AM Hardie,RCB,46,0,5,11.5,inf,4.0,CSK
Abhishek Sharma,RCB,11,0,0,11.0,inf,1.0,MI
Abrar Ahmed,CSK,25,0,5,7.14,inf,3.3,
Abrar Ahmed,SRH,43,0,4,10.75,inf,4.0,
Akash Deep,DC,41,0,6,10.25,inf,4.0,
Akash Deep,PBKS,38,0,6,9.5,inf,4.0,
Akash Madhwal,MI,40,0,3,15.0,inf,2.4,
AM Rahane,KKR,14,0,1,14.0,inf,1.0,MI
AM Hardie,CSK,72,0,11,10.29,inf,7.0,CSK
Chirag Jani,CSK,66,0,8,9.43,inf,7.0,CSK
A Sheth,DC,96,0,4,12.0,inf,8.0,DC
A Badoni,RCB,14,0,1,12.0,inf,1.1,
A Kamboj,CSK,42,0,6,10.5,inf,4.0,GT
A Kamboj,GT,24,0,1,12.0,inf,2.0,GT
A Mishra,DC,35,0,5,8.75,inf,4.0,
A Mishra,KKR,44,0,6,11.0,inf,4.0,
A Mishra,PBKS,51,0,4,12.75,inf,4.0,
A Sheth,KKR,35,0,7,8.75,inf,4.0,DC
AJ Tye,SRH,31,0,1,15.5,inf,2.0,
A Sheth,PBKS,32,0,7,8.0,inf,4.0,DC
AD Russell,LSG,38,0,4,10.86,inf,3.3,DC
AD Russell,PBKS,63,0,8,12.6,inf,5.0,DC
AJ Hosein,CSK,29,0,10,7.25,inf,4.0,
AJ Hosein,SRH,129,0,18,10.75,inf,12.0,
AJ Turner,PBKS,21,0,5,7.0,inf,3.0,
Akash Vasisht,GT,87,0,1,12.43,inf,7.0,SRH
Arshad Khan,RCB,40,0,7,10.0,inf,4.0,DC
Atharva Taide,CSK,6,0,2,6.0,inf,1.0,MI
CJ Jordan,CSK,41,0,3,10.25,inf,4.0,
C Sakariya,PBKS,27,0,6,6.75,inf,4.0,SRH
CH Gayle,MI,51,0,2,12.75,inf,4.0,CSK
CH Morris,KKR,41,0,7,10.25,inf,4.0,
CH Morris,MI,15,0,2,15.0,inf,1.0,
CH Morris,PBKS,37,0,8,9.25,inf,4.0,
CJ Green,PBKS,21,0,9,5.25,inf,4.0,
CV Milind,DC,33,0,5,8.25,inf,4.0,SRH
Azmatullah Omarzai,MI,40,0,6,10.0,inf,4.0,
CV Milind,LSG,35,0,8,8.75,inf,4.0,SRH
CV Varun,CSK,35,0,5,8.75,inf,4.0,PBKS
CV Varun,DC,154,0,7,12.83,inf,12.0,PBKS
CV Varun,GT,59,0,8,8.43,inf,7.0,PBKS
Cheepurapalli Stephen,DC,118,0,10,10.73,inf,11.0,CSK
Cheepurapalli Stephen,LSG,34,0,8,8.5,inf,4.0,CSK
C Green,DC,12,0,3,6.0,inf,2.0,KKR
C Connolly,SRH,26,0,5,8.67,inf,3.0,PBKS
Bilal Zalmai,SRH,43,0,4,10.75,inf,4.0,
Bilal Zalmai,LSG,35,0,7,8.75,inf,4.0,
Bilal Zalmai,GT,35,0,1,8.75,inf,4.0,
Baltej Singh,PBKS,41,0,5,10.25,inf,4.0,
Bal Krishna,SRH,39,0,0,13.0,inf,3.0,
Bal Krishna,PBKS,37,0,5,9.25,inf,4.0,
BJ McMullen,SRH,23,0,3,7.67,inf,3.0,RR
BJ McMullen,RCB,25,0,4,8.33,inf,3.0,RR
BJ McMullen,MI,38,0,7,9.5,inf,4.0,RR
BJ McMullen,LSG,21,0,1,10.5,inf,2.0,RR
BJ McMullen,DC,157,0,24,9.81,inf,16.0,RR
BJ Dwarshuis,RCB,35,0,0,11.67,inf,3.0,
BA Stokes,SRH,144,0,13,13.09,inf,11.0,RR
Azmatullah Omarzai,SRH,40,0,4,10.0,inf,4.0,
Azmatullah Omarzai,RCB,15,0,1,15.0,inf,1.0,
Jaskaran Singh,KKR,28,0,3,14.0,inf,2.0,KKR
Jay Gohil,DC,14,0,0,14.0,inf,1.0,LSG
Jay Gohil,GT,25,0,1,12.5,inf,2.0,LSG
Pulkit Narang,PBKS,24,0,14,6.0,inf,4.0,RR
PJ Cummins,PBKS,46,0,3,11.5,inf,4.0,
PN Mankad,RCB,4,0,2,4.0,inf,1.0,
PP Chawla,DC,34,0,8,8.5,inf,4.0,
PWH de Silva,CSK,31,0,3,7.75,inf,4.0,RCB
Pankaj Jaswal,RR,36,0,6,12.0,inf,3.0,
Prashant Veer,DC,13,0,3,6.5,inf,2.0,DC
Pulkit Narang,SRH,36,0,9,9.0,inf,4.0,RR
Noor Ahmad,CSK,51,0,8,12.75,inf,4.0,MI
R Ashwin,MI,94,0,19,9.4,inf,10.0,KKR
R Parag,DC,30,0,6,10.0,inf,3.0,GT
R Parag,KKR,23,0,2,11.5,inf,2.0,GT
R Parag,PBKS,41,0,6,8.2,inf,5.0,GT
R Parag,RCB,21,0,1,10.5,inf,2.0,GT
R Parag,SRH,39,0,8,7.8,inf,5.0,GT
OEG Baartman,MI,77,0,7,11.85,inf,6.3,
Nithish Kumar Reddy,GT,85,0,13,9.44,inf,9.0,SRH
K Gowtham,SRH,29,0,6,7.25,inf,4.0,
N Wadhera,RR,10,0,0,10.0,inf,1.0,KKR
Mukesh Kumar,CSK,41,0,10,10.25,inf,4.0,
Mukesh Kumar,RR,58,0,3,14.5,inf,4.0,
N Rana,PBKS,15,0,2,15.0,inf,1.0,PBKS
N Rana,RR,35,0,6,8.75,inf,4.0,PBKS
N Rana,SRH,3,0,3,3.0,inf,1.0,PBKS
N Sindhu,PBKS,58,0,2,14.5,inf,4.0,DC
NA Rathva,GT,5,0,3,5.0,inf,1.0,RR
Nithish Kumar Reddy,DC,54,0,1,10.8,inf,5.0,SRH
NT Ellis,PBKS,40,0,6,10.0,inf,4.0,SRH
Naman Dhir,DC,19,0,0,19.0,inf,1.0,GT
Naman Dhir,GT,6,0,1,6.0,inf,1.0,GT
Naman Dhir,SRH,18,0,0,18.0,inf,1.0,GT
Naseem Shah,GT,38,0,6,9.5,inf,4.0,
Naveen-ul-Haq,MI,65,0,5,16.25,inf,4.0,SRH
R Powell,LSG,69,0,4,9.86,inf,7.0,LSG
R Powell,MI,21,0,2,10.5,inf,2.0,LSG
R Ravindra,PBKS,40,0,2,13.33,inf,3.0,
Rishad Hossain,RR,29,0,4,9.67,inf,3.0,RR
Ramandeep Singh,DC,33,0,7,6.6,inf,5.0,LSG
Ramandeep Singh,MI,46,0,2,11.5,inf,4.0,LSG
Ramandeep Singh,SRH,18,0,4,6.0,inf,3.0,LSG
Rashid Khan,CSK,36,0,5,9.0,inf,4.0,MI
Rasikh Salam,SRH,33,0,6,8.25,inf,4.0,MI
Ravi Teja,DC,27,0,10,7.04,inf,3.5,RCB
S Dube,LSG,71,0,5,10.14,inf,7.0,RR
R Shepherd,PBKS,76,0,13,9.5,inf,8.0,GT
S Dube,MI,108,0,15,12.0,inf,9.0,RR
SA Abbott,CSK,45,0,5,11.25,inf,4.0,
SA Abbott,MI,49,0,1,12.25,inf,4.0,
SM Curran,MI,85,0,11,10.62,inf,8.0,
SN Thakur,DC,37,0,3,12.33,inf,3.0,
SS Agarwal,CSK,50,0,5,12.5,inf,4.0,
Ramandeep Singh,CSK,68,0,8,9.71,inf,7.0,LSG
Rahul Singh,RCB,14,0,2,14.0,inf,1.0,RCB
RS Hangargekar,CSK,33,0,4,8.25,inf,4.0,
RR Patel,MI,59,0,3,14.75,inf,4.0,RCB
RR Patel,GT,34,0,4,8.5,inf,4.0,RCB
RG Sharma,PBKS,17,0,0,17.0,inf,1.0,KKR
RG Sharma,DC,33,0,2,16.5,inf,2.0,KKR
RD Chahar,RR,80,0,6,13.33,inf,6.0,CSK
RD Chahar,LSG,27,0,7,9.0,inf,3.0,CSK
RD Chahar,KKR,32,0,2,10.67,inf,3.0,CSK
RD Chahar,GT,29,0,8,7.25,inf,4.0,CSK
RA Jadeja,MI,52,0,12,8.67,inf,6.0,SRH
RA Bawa,RR,16,0,3,8.0,inf,2.0,SRH
RA Bawa,LSG,20,0,1,10.0,inf,2.0,SRH
RA Bawa,GT,51,0,5,12.75,inf,4.0,SRH
RA Bawa,DC,10,0,5,5.0,inf,2.0,SRH
R Tewatia,MI,35,0,4,8.75,inf,4.0,
Mujeeb Ur Rahman,SRH,38,0,6,9.5,inf,4.0,
Mujeeb Ur Rahman,KKR,27,0,9,9.0,inf,3.0,
Mohit Avasthi,CSK,36,0,6,9.0,inf,4.0,
Khrievitso Kense,SRH,45,0,16,5.62,inf,8.0,RCB
KV Sharma,GT,51,0,1,12.75,inf,4.0,
Kaleem Sana,LSG,47,0,8,11.75,inf,4.0,RCB
Kaleem Sana,RCB,41,0,11,10.25,inf,4.0,RCB
Karan Lal,CSK,38,0,7,9.5,inf,4.0,RR
Kartik Tyagi,PBKS,26,0,0,13.0,inf,2.0,
Khrievitso Kense,KKR,21,0,12,5.25,inf,4.0,RCB
Khushdil Shah,LSG,35,0,2,11.67,inf,3.0,DC
M Jansen,RR,87,0,7,10.88,inf,8.0,
Khushdil Shah,MI,30,0,10,7.5,inf,4.0,DC
LH Ferguson,CSK,34,0,5,8.5,inf,4.0,
LH Ferguson,GT,52,0,4,14.86,inf,3.3,
LH Ferguson,SRH,44,0,6,11.0,inf,4.0,
LI Meriwala,GT,51,0,2,12.75,inf,4.0,DC
LS Livingstone,RR,51,0,6,10.55,inf,4.5,KKR
KR Sen,RR,23,0,6,7.67,inf,3.0,
KR Sen,RCB,28,0,6,9.33,inf,3.0,
KR Sen,GT,30,0,2,10.0,inf,3.0,
KK Ahmed,PBKS,39,0,11,9.75,inf,4.0,RR
KK Ahmed,MI,84,0,13,10.5,inf,8.0,RR
KK Ahmed,KKR,81,0,21,8.1,inf,10.0,RR
KK Ahmed,DC,41,0,3,13.67,inf,3.0,RR
KH Pandya,MI,12,0,0,12.0,inf,1.0,RR
KH Pandya,GT,80,0,6,10.0,inf,8.0,RR
KA Pollard,LSG,8,0,1,8.0,inf,1.0,CSK
KA Pollard,KKR,17,0,0,17.0,inf,1.0,CSK
KA Pollard,GT,15,0,1,15.0,inf,1.0,CSK
KA Pollard,DC,20,0,4,10.0,inf,2.0,CSK
K Rabada,RR,43,0,3,10.75,inf,4.0,
K Rabada,KKR,32,0,8,8.0,inf,4.0,
K Rabada,DC,51,0,14,7.29,inf,7.0,
K Rabada,CSK,30,0,6,7.5,inf,4.0,
Lalit Yadav,SRH,23,0,4,7.67,inf,3.0,
M Markande,KKR,34,0,7,8.5,inf,4.0,
Mohammed Siraj,SRH,20,0,8,6.67,inf,3.0,
MM Sharma,MI,11,0,0,11.0,inf,1.0,
MJ Suthar,SRH,43,0,1,10.75,inf,4.0,
MK Lomror,SRH,13,0,2,13.0,inf,1.0,
MM Ali,GT,73,0,11,9.12,inf,8.0,
MM Ali,RCB,43,0,8,10.75,inf,4.0,
MM Ali,SRH,43,0,9,10.75,inf,4.0,
MM Sharma,CSK,19,0,2,9.5,inf,2.0,
MP Stoinis,DC,12,0,2,8.0,inf,1.3,KKR
M Markande,RR,38,0,4,9.5,inf,4.0,
MP Stoinis,GT,73,0,4,10.43,inf,7.0,KKR
MP Stoinis,LSG,55,0,17,9.17,inf,6.0,KKR
MW Short,LSG,18,0,0,18.0,inf,1.0,MI
Mayank Dagar,GT,82,0,7,10.25,inf,8.0,LSG
Mohammad Ghazanfar,LSG,38,0,2,9.5,inf,4.0,SRH
Mohammed Siraj,GT,46,0,2,13.14,inf,3.3,
MJ Suthar,RR,34,0,6,8.5,inf,4.0,
MJ Santner,SRH,32,0,10,6.4,inf,5.0,KKR
MJ Santner,MI,25,0,0,12.5,inf,2.0,KKR
MJ Owen,SRH,24,0,7,8.0,inf,3.0,DC
MJ Owen,MI,39,0,1,13.0,inf,3.0,DC
MJ Owen,GT,25,0,1,12.5,inf,2.0,DC
MJ Henry,RR,53,0,6,13.25,inf,4.0,
MG Bracewell,GT,38,0,7,12.67,inf,3.0,
MADI Hemantha,PBKS,39,0,6,9.75,inf,4.0,
MA Wood,SRH,31,0,5,10.33,inf,3.0,
MA Wood,MI,51,0,2,12.75,inf,4.0,
MA Wood,GT,37,0,4,9.25,inf,4.0,
M Theekshana,LSG,85,0,7,12.14,inf,7.0,
M Theekshana,CSK,48,0,6,9.6,inf,5.0,
M Siddharth,RR,84,0,14,10.5,inf,8.0,CSK
M Siddharth,MI,26,0,8,6.5,inf,4.0,CSK
M Shahrukh Khan,LSG,21,0,3,10.5,inf,2.0,
Zeeshan Ansari,RR,40,0,7,10.0,inf,4.0,SRH
